"","Samples","class"
"701","SRR5103562.A01.htseq","SI.Stem"
"1182","GFPpos.C1.Singlet.4.G8.htseq","SI.TA.Cells"
"1183","SRR5102813.A01.htseq","SI.TA.Cells"
"1868","NJA00103.D09.htseq","Blood.Cells"
"702","SRR5102362.A01.htseq","SI.Stem"
"1184","SRR5102747.A01.htseq","SI.TA.Cells"
"1185","SRR5103063.A01.htseq","SI.TA.Cells"
"179","SRR5103590.A01.htseq","SI.Enterocyte.Progenitor"
"431","SRR5102513.A01.htseq","SI.Goblet"
"1186","SRR5102923.A01.htseq","SI.TA.Cells"
"1","SRR5103085.A01.htseq","SI.Early.Enterocyte"
"1767","SRR5103186.A01.htseq","SI.Tuft.Cells"
"1630","NJA00109.A05.htseq","C.Colonocytes"
"2","SRR5103184.A01.htseq","SI.Early.Enterocyte"
"703","SRR5103110.A01.htseq","SI.Stem"
"1631","GFPneg.C1.Singlet.4.D5.htseq","C.Colonocytes"
"1768","SRR5102900.A01.htseq","SI.Tuft.Cells"
"704","SRR5103393.A01.htseq","SI.Stem"
"180","SRR5103588.A01.htseq","SI.Enterocyte.Progenitor"
"3","NJA00102.H06.htseq","SI.Early.Enterocyte"
"1187","SRR5103426.A01.htseq","SI.TA.Cells"
"432","NJA00102.C01.htseq","SI.Goblet"
"181","SRR5103175.A01.htseq","SI.Enterocyte.Progenitor"
"1188","SRR5103846.A01.htseq","SI.TA.Cells"
"1699","NJA00109.A10.htseq","C.Stem"
"4","SRR5102378.A01.htseq","SI.Early.Enterocyte"
"1659","GFPpos.C1.Singlet.4.H7.htseq","C.Goblet"
"1189","SRR5102729.A01.htseq","SI.TA.Cells"
"1700","NJA00109.C02.htseq","C.Stem"
"433","SRR5102951.A01.htseq","SI.Goblet"
"705","SRR5102761.A01.htseq","SI.Stem"
"706","SRR5103763.A01.htseq","SI.Stem"
"1190","SRR5102728.A01.htseq","SI.TA.Cells"
"568","NJA00103.F05.htseq","SI.Late.Enterocyte"
"707","SRR5102073.A01.htseq","SI.Stem"
"182","SRR5103604.A01.htseq","SI.Enterocyte.Progenitor"
"183","SRR5103743.A01.htseq","SI.Enterocyte.Progenitor"
"5","SRR5103309.A01.htseq","SI.Early.Enterocyte"
"708","SRR5103561.A01.htseq","SI.Stem"
"709","SRR5102842.A01.htseq","SI.Stem"
"1191","SRR5102752.A01.htseq","SI.TA.Cells"
"434","SRR5102876.A01.htseq","SI.Goblet"
"1769","SRR5102868.A01.htseq","SI.Tuft.Cells"
"710","SRR5102664.A01.htseq","SI.Stem"
"184","SRR5103035.A01.htseq","SI.Enterocyte.Progenitor"
